#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.3750000E+04  0.2615000E+03  0.5306000E+03  0.1036000E+04  0.1929000E+04  0.3439000E+04  0.5899000E+04  0.9973000E+04  0.1714000E+05  0.3075000E+05  0.5883000E+05  0.1192000E+06  0.1493850E+06  0.1493850E+06
  0.4000000E+04  0.2043000E+03  0.4280000E+03  0.8844000E+03  0.1800000E+04  0.3585000E+04  0.6928000E+04  0.1289000E+05  0.2295000E+05  0.4035000E+05  0.7440000E+05  0.1504000E+06  0.1884000E+06  0.1884000E+06
  0.4250000E+04  0.1666000E+03  0.3435000E+03  0.7048000E+03  0.1444000E+04  0.2954000E+04  0.6026000E+04  0.1221000E+05  0.2440000E+05  0.4791000E+05  0.9185000E+05  0.1702000E+06  0.2093750E+06  0.2093750E+06
  0.4500000E+04  0.1432000E+03  0.2849000E+03  0.5669000E+03  0.1132000E+04  0.2277000E+04  0.4611000E+04  0.9386000E+04  0.1916000E+05  0.3901000E+05  0.7883000E+05  0.1571000E+06  0.1962350E+06  0.1962350E+06
  0.4750000E+04  0.1411000E+03  0.2709000E+03  0.5176000E+03  0.9933000E+03  0.1926000E+04  0.3777000E+04  0.7518000E+04  0.1516000E+05  0.3088000E+05  0.6300000E+05  0.1287000E+06  0.1615500E+06  0.1615500E+06
  0.5000000E+04  0.1440000E+03  0.2763000E+03  0.5199000E+03  0.9724000E+03  0.1825000E+04  0.3458000E+04  0.6651000E+04  0.1300000E+05  0.2585000E+05  0.5200000E+05  0.1052000E+06  0.1318000E+06  0.1318000E+06
  0.5250000E+04  0.1356000E+03  0.2717000E+03  0.5226000E+03  0.9818000E+03  0.1825000E+04  0.3390000E+04  0.6345000E+04  0.1202000E+05  0.2314000E+05  0.4522000E+05  0.8942000E+05  0.1115200E+06  0.1115200E+06
  0.5500000E+04  0.1128000E+03  0.2423000E+03  0.4932000E+03  0.9644000E+03  0.1834000E+04  0.3432000E+04  0.6379000E+04  0.1188000E+05  0.2233000E+05  0.4244000E+05  0.8163000E+05  0.1012250E+06  0.1012250E+06
  0.5750000E+04  0.8423000E+02  0.1928000E+03  0.4164000E+03  0.8609000E+03  0.1719000E+04  0.3336000E+04  0.6337000E+04  0.1189000E+05  0.2221000E+05  0.4162000E+05  0.7851000E+05  0.9695500E+05  0.9695500E+05
  0.6000000E+04  0.1071160E+03  0.1428000E+03  0.3229000E+03  0.6990000E+03  0.1465000E+04  0.2981000E+04  0.5908000E+04  0.1145000E+05  0.2178000E+05  0.4104000E+05  0.7704000E+05  0.9504000E+05  0.9504000E+05
  0.6250000E+04  0.9428711E+02  0.1023000E+03  0.2397000E+03  0.5364000E+03  0.1164000E+04  0.2461000E+04  0.5091000E+04  0.1029000E+05  0.2032000E+05  0.3933000E+05  0.7491000E+05  0.9270000E+05  0.9270000E+05
  0.6500000E+04  0.7339821E+02  0.7191000E+02  0.1748000E+03  0.4009000E+03  0.8901000E+03  0.1933000E+04  0.4122000E+04  0.8628000E+04  0.1771000E+05  0.3559000E+05  0.6996000E+05  0.8714500E+05  0.8714500E+05
  0.6750000E+04  0.5393500E+02  0.4959000E+02  0.1264000E+03  0.2972000E+03  0.6711000E+03  0.1484000E+04  0.3228000E+04  0.6925000E+04  0.1465000E+05  0.3044000E+05  0.6197000E+05  0.7773500E+05  0.7773500E+05
  0.7000000E+04  0.3873083E+02  0.3309000E+02  0.8984000E+02  0.2191000E+03  0.5043000E+03  0.1129000E+04  0.2492000E+04  0.5439000E+04  0.1175000E+05  0.2502000E+05  0.5246000E+05  0.6618000E+05  0.6618000E+05
  0.7250000E+04  0.2903678E+02  0.2063000E+02  0.6203000E+02  0.1588000E+03  0.3771000E+03  0.8579000E+03  0.1915000E+04  0.4237000E+04  0.9287000E+04  0.2016000E+05  0.4322000E+05  0.5475000E+05  0.5475000E+05
  0.7500000E+04  0.2752937E+02  0.2829205E+02  0.4050000E+02  0.1117000E+03  0.2763000E+03  0.6474000E+03  0.1468000E+04  0.3286000E+04  0.7295000E+04  0.1607000E+05  0.3507000E+05  0.4457000E+05  0.4457000E+05
  0.7750000E+04  0.2486010E+02  0.2437837E+02  0.2428000E+02  0.7467000E+02  0.1957000E+03  0.4770000E+03  0.1115000E+04  0.2538000E+04  0.5710000E+04  0.1275000E+05  0.2822000E+05  0.3595500E+05  0.3595500E+05
  0.8000000E+04  0.2213278E+02  0.1989590E+02  0.1282000E+02  0.4715000E+02  0.1337000E+03  0.3418000E+03  0.8272000E+03  0.1937000E+04  0.4442000E+04  0.1007000E+05  0.2260000E+05  0.2886500E+05  0.2886500E+05
  0.8250000E+04  0.2098519E+02  0.2000636E+02  0.1967863E+02  0.2794000E+02  0.8693000E+02  0.2362000E+03  0.5980000E+03  0.1451000E+04  0.3421000E+04  0.7900000E+04  0.1803000E+05  0.2309500E+05  0.2309500E+05
  0.8500000E+04  0.2004926E+02  0.1910191E+02  0.1780529E+02  0.1645000E+02  0.5510000E+02  0.1575000E+03  0.4177000E+03  0.1056000E+04  0.2578000E+04  0.6129000E+04  0.1428000E+05  0.1835550E+05  0.1835550E+05
  0.8750000E+04  0.1922592E+02  0.1812247E+02  0.1580881E+02  0.1013000E+02  0.3594000E+02  0.1059000E+03  0.2881000E+03  0.7504000E+03  0.1894000E+04  0.4657000E+04  0.1118000E+05  0.1444150E+05  0.1444150E+05
