#Table Version   5
#[Z/Z_SOLAR]=-0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  54  59  66  78  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  1.2250000E+04  5.7366562E+01  5.7609612E+01  5.8374023E+01  6.0751034E+01  6.7906178E+01  8.7844538E+01  1.3652819E+02  2.1321230E+02  4.1134259E+02  7.7669405E+02  1.4654858E+03  2.8256776E+03  5.4201133E+03
  1.2500000E+04  5.6733579E+01  5.6996051E+01  5.7821378E+01  6.0385501E+01  6.8089355E+01  8.9459527E+01  1.4132627E+02  2.2497740E+02  4.3386749E+02  8.1569067E+02  1.5251058E+03  2.8917141E+03  5.5029785E+03
  1.2750000E+04  5.5953451E+01  5.6236480E+01  5.7126088E+01  5.9888328E+01  6.8171020E+01  9.1057018E+01  1.4630602E+02  2.3706952E+02  4.5763373E+02  8.5816987E+02  1.5938681E+03  2.9843260E+03  5.6471397E+03
  1.3000000E+04  5.5019907E+01  5.5324359E+01  5.6281176E+01  5.9249805E+01  6.8135520E+01  9.2603828E+01  1.5140929E+02  2.4957154E+02  4.8261705E+02  9.0367408E+02  1.6706761E+03  3.0987235E+03  5.8394143E+03
  1.4000000E+04  4.9626909E+01  5.0021593E+01  5.1261038E+01  5.5098227E+01  6.6521849E+01  9.7694461E+01  1.7194754E+02  3.0141804E+02  5.9111303E+02  1.1095698E+03  2.0371256E+03  3.7073426E+03  6.9425662E+03
  1.5000000E+04  4.1267043E+01  4.1754844E+01  4.3285568E+01  4.8014598E+01  6.2026534E+01  1.0001766E+02  1.9039360E+02  3.5195874E+02  7.0528588E+02  1.3376066E+03  2.4637345E+03  4.4667786E+03  8.4242922E+03
  1.6000000E+04  2.9499779E+01  3.0083417E+01  3.1913210E+01  3.7553399E+01  5.4171589E+01  9.8915326E+01  2.0515036E+02  3.9985867E+02  8.2006271E+02  1.5747250E+03  2.9224652E+03  5.3118872E+03  1.0183064E+04
  1.7000000E+04  3.9449953E+01  4.0600932E+01  4.2596703E+01  4.4832838E+01  4.2412611E+01  9.3818066E+01  2.1599896E+02  4.4376355E+02  9.3343692E+02  1.8156889E+03  3.3953450E+03  6.1994036E+03  1.2098354E+04
  1.8000000E+04  4.9442693E+01  5.1046087E+01  5.3584716E+01  5.7047304E+01  6.3057158E+01  8.4077592E+01  2.2225705E+02  4.8197822E+02  1.0447186E+03  2.0595257E+03  3.8791421E+03  7.1111293E+03  1.4069970E+04
  1.9000000E+04  5.9895003E+01  6.1854461E+01  6.4590077E+01  6.7283761E+01  6.8920377E+01  6.9453803E+01  2.2300167E+02  5.1295661E+02  1.1483809E+03  2.3024008E+03  4.3692165E+03  8.0453630E+03  1.6073158E+04
  2.0000000E+04  7.1231416E+01  7.3678296E+01  7.6969194E+01  7.9423940E+01  7.6248959E+01  4.9759245E+01  2.1787282E+02  5.3433535E+02  1.2428696E+03  2.5380845E+03  4.8615723E+03  8.9977244E+03  1.8112472E+04
  2.1000000E+04  8.3703101E+01  8.6956511E+01  9.1942429E+01  9.8359496E+01  1.0743485E+02  1.2797782E+02  2.0657463E+02  5.4878516E+02  1.3283329E+03  2.7633783E+03  5.3461406E+03  9.9453198E+03  2.0168462E+04
  2.2000000E+04  9.7328414E+01  1.0139541E+02  1.0775018E+02  1.1620252E+02  1.2804060E+02  1.4846950E+02  1.8823344E+02  5.5515802E+02  1.4044067E+03  2.9750939E+03  5.8141798E+03  1.0882832E+04  2.2219551E+04
  2.3000000E+04  1.1235241E+02  1.1716578E+02  1.2430091E+02  1.3262776E+02  1.4119671E+02  1.5005833E+02  1.6164904E+02  5.4897413E+02  1.4669720E+03  3.1710962E+03  6.2602811E+03  1.1779291E+04  2.4281282E+04
