#Table Version   5                                                                                                                                                                                                                                              
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE: 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381              
#Teff(K)| Pgas@  log g = 5.50   log g = 5.60   log g = 5.70   log g = 5.80   log g = 5.90   log g = 6.00   log g = 6.10   log g = 6.20   log g = 6.30   log g = 6.40   log g = 6.50   log g = 6.60   log g = 6.70   log g = 6.80   log g = 6.90   log g = 7.00   log g = 7.10   log g = 7.20   log g = 7.30   log g = 7.40   log g = 7.50   log g = 7.60   log g = 7.70   log g = 7.80   log g = 7.90   log g = 8.00   log g = 8.10   log g = 8.20   log g = 8.30   log g = 8.40   log g = 8.50   log g = 8.60   log g = 8.70   log g = 8.80   log g = 8.90   log g = 9.00   log g = 9.10   log g = 9.20   log g = 9.30   log g = 9.40   log g = 9.50 
  0.4000000E+04  0.4126979E+08  0.4795480E+08  0.5583639E+08  0.6503384E+08  0.7571663E+08  0.8800097E+08  0.1024771E+09  0.1191009E+09  0.1388204E+09  0.1607150E+09  0.1881329E+09  0.2191446E+09  0.2548033E+09  0.2788399E+09  0.3407639E+09  0.3941446E+09  0.4666898E+09  0.5416353E+09  0.6315353E+09  0.7325795E+09  0.8485329E+09  0.9919948E+09  0.1152697E+10  0.1328078E+10  0.1552457E+10  0.1830338E+10  0.2198958E+10  0.2466903E+10  0.2849702E+10  0.3315146E+10  0.3830681E+10  0.4471154E+10  0.5173573E+10  0.5947331E+10  0.6932459E+10  0.7983521E+10  0.9166674E+10  0.1060820E+11  0.1222694E+11  0.1407347E+11  0.1613906E+11
  0.4100000E+04  0.3402252E+08  0.3951826E+08  0.4583948E+08  0.5325596E+08  0.6179113E+08  0.7175315E+08  0.8329353E+08  0.9689131E+08  0.1125308E+09  0.1309724E+09  0.1524461E+09  0.1775622E+09  0.2064955E+09  0.2407396E+09  0.2797378E+09  0.3260621E+09  0.3798650E+09  0.4419244E+09  0.5138487E+09  0.6008786E+09  0.6973552E+09  0.8102719E+09  0.9428685E+09  0.1093474E+10  0.1270395E+10  0.1509348E+10  0.1774399E+10  0.2065926E+10  0.2381500E+10  0.2749221E+10  0.3198911E+10  0.3737431E+10  0.4310930E+10  0.5013236E+10  0.5796502E+10  0.6718840E+10  0.7750323E+10  0.8899068E+10  0.1036370E+11  0.1193122E+11  0.1376282E+11
  0.4200000E+04  0.2825408E+08  0.3277942E+08  0.3804367E+08  0.4407284E+08  0.5100990E+08  0.5909840E+08  0.6858095E+08  0.7949808E+08  0.9229056E+08  0.1070209E+09  0.1244390E+09  0.1444223E+09  0.1680311E+09  0.1955883E+09  0.2276392E+09  0.2647470E+09  0.3085296E+09  0.3595650E+09  0.4182912E+09  0.4878192E+09  0.5684099E+09  0.6619280E+09  0.7717440E+09  0.8980761E+09  0.1043748E+10  0.1238964E+10  0.1439871E+10  0.1625003E+10  0.1965036E+10  0.2273966E+10  0.2649125E+10  0.3086271E+10  0.3591326E+10  0.4184351E+10  0.4837730E+10  0.5606516E+10  0.6518156E+10  0.7556073E+10  0.8760891E+10  0.1015550E+11  0.1164623E+11
  0.4300000E+04  0.2346821E+08  0.2732316E+08  0.3173305E+08  0.3675829E+08  0.4255817E+08  0.4935203E+08  0.5699678E+08  0.6602509E+08  0.7644326E+08  0.8849135E+08  0.1022811E+09  0.1189460E+09  0.1381110E+09  0.1601699E+09  0.1859089E+09  0.2163170E+09  0.2517758E+09  0.2931305E+09  0.3409405E+09  0.3973863E+09  0.4633009E+09  0.5394110E+09  0.6292099E+09  0.7341834E+09  0.8548122E+09  0.9981103E+09  0.1164610E+10  0.1357201E+10  0.1579309E+10  0.1854008E+10  0.2152445E+10  0.2494236E+10  0.2910560E+10  0.3383246E+10  0.3935931E+10  0.4575745E+10  0.5327018E+10  0.6191755E+10  0.7160548E+10  0.8275816E+10  0.9596837E+10
  0.4400000E+04  0.1931868E+08  0.2263553E+08  0.2645631E+08  0.3073247E+08  0.3564464E+08  0.4130753E+08  0.4779207E+08  0.5525831E+08  0.6385040E+08  0.7404336E+08  0.8547747E+08  0.9886752E+08  0.1144457E+09  0.1326768E+09  0.1536814E+09  0.1785484E+09  0.2071416E+09  0.2404427E+09  0.2797306E+09  0.3257395E+09  0.3787513E+09  0.4414469E+09  0.5148151E+09  0.6002894E+09  0.6994623E+09  0.8166918E+09  0.9535023E+09  0.1111244E+10  0.1295419E+10  0.1511609E+10  0.1775368E+10  0.2056027E+10  0.2410045E+10  0.2803236E+10  0.3249154E+10  0.3817194E+10  0.4439797E+10  0.5160516E+10  0.5974620E+10  0.6977981E+10  0.8020105E+10
  0.4500000E+04  0.1570166E+08  0.1859647E+08  0.2189462E+08  0.2568186E+08  0.2982124E+08  0.3488506E+08  0.4024536E+08  0.4658878E+08  0.5387054E+08  0.6224311E+08  0.7190773E+08  0.8307483E+08  0.9612571E+08  0.1111392E+09  0.1282639E+09  0.1486197E+09  0.1720603E+09  0.1990139E+09  0.2312626E+09  0.2689942E+09  0.3125145E+09  0.3635202E+09  0.4233295E+09  0.4925972E+09  0.5743522E+09  0.6702219E+09  0.7809951E+09  0.9121795E+09  0.1065688E+10  0.1244857E+10  0.1452412E+10  0.1694808E+10  0.1971594E+10  0.2312980E+10  0.2698013E+10  0.3156701E+10  0.3688698E+10  0.4295636E+10  0.5013842E+10  0.5834208E+10  0.6770626E+10
  0.4600000E+04  0.1240697E+08  0.1486092E+08  0.1780791E+08  0.2114238E+08  0.2477601E+08  0.2878406E+08  0.3368534E+08  0.3942605E+08  0.4575933E+08  0.5271520E+08  0.6091057E+08  0.7032728E+08  0.8108612E+08  0.9373876E+08  0.1080522E+09  0.1249570E+09  0.1444909E+09  0.1662136E+09  0.1935688E+09  0.2241754E+09  0.2590445E+09  0.3019694E+09  0.3506368E+09  0.4080121E+09  0.4745181E+09  0.5529883E+09  0.6439782E+09  0.7515944E+09  0.8760751E+09  0.1023399E+10  0.1195901E+10  0.1397948E+10  0.1631589E+10  0.1906783E+10  0.2229460E+10  0.2614329E+10  0.3078429E+10  0.3561617E+10  0.4134699E+10  0.4868421E+10  0.5646933E+10
  0.4700000E+04  0.9753035E+07  0.1178712E+08  0.1418251E+08  0.1697863E+08  0.2020695E+08  0.2392260E+08  0.2819923E+08  0.3308043E+08  0.3864111E+08  0.4472997E+08  0.5187406E+08  0.6000265E+08  0.6928800E+08  0.7995802E+08  0.9224802E+08  0.1064967E+09  0.1227832E+09  0.1416151E+09  0.1635947E+09  0.1890340E+09  0.2186998E+09  0.2527861E+09  0.2935931E+09  0.3403682E+09  0.3950573E+09  0.4588557E+09  0.5343344E+09  0.6227766E+09  0.7252967E+09  0.8465606E+09  0.9889372E+09  0.1153860E+10  0.1348885E+10  0.1577728E+10  0.1842279E+10  0.2157266E+10  0.2523224E+10  0.2961792E+10  0.3452410E+10  0.4030625E+10  0.4723436E+10
  0.4800000E+04  0.7664255E+07  0.8710964E+07  0.1107987E+08  0.1318011E+08  0.1605655E+08  0.1932949E+08  0.2298088E+08  0.2723442E+08  0.3207968E+08  0.3761387E+08  0.4402963E+08  0.5107769E+08  0.5924331E+08  0.6855167E+08  0.7918444E+08  0.9136494E+08  0.1053289E+09  0.1214720E+09  0.1401651E+09  0.1618000E+09  0.1863718E+09  0.2153253E+09  0.2488992E+09  0.2880018E+09  0.3337198E+09  0.3869691E+09  0.4496448E+09  0.5180428E+09  0.6069685E+09  0.7056165E+09  0.8217193E+09  0.9586575E+09  0.1118378E+10  0.1306820E+10  0.1528139E+10  0.1788547E+10  0.2088727E+10  0.2437623E+10  0.2878302E+10  0.3347201E+10  0.3925040E+10
  0.4900000E+04  0.6128458E+07  0.7548330E+07  0.8941411E+07  0.1034020E+08  0.1258726E+08  0.1578384E+08  0.1863467E+08  0.2226036E+08  0.2637577E+08  0.3133557E+08  0.3677881E+08  0.4329516E+08  0.5067141E+08  0.5894571E+08  0.6806239E+08  0.7875547E+08  0.9096318E+08  0.1049209E+09  0.1209659E+09  0.1393751E+09  0.1604056E+09  0.1852557E+09  0.2135038E+09  0.2461172E+09  0.2843233E+09  0.3286751E+09  0.3806251E+09  0.4410031E+09  0.5129374E+09  0.5951496E+09  0.6917121E+09  0.8050407E+09  0.9388154E+09  0.1094579E+10  0.1276254E+10  0.1491647E+10  0.1740631E+10  0.2037484E+10  0.2388003E+10  0.2794448E+10  0.3260699E+10
