#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.3400000E+04  0.2035337E+04  0.3088328E+04  0.5132344E+04  0.8461445E+04  0.1346484E+05  0.2067544E+05  0.4063526E+05  0.8008114E+05  0.1614110E+06  0.3355127E+06  0.7333112E+06  0.1544793E+07  0.3546538E+07
  0.3500000E+04  0.1335119E+04  0.2180664E+04  0.3841172E+04  0.6770222E+04  0.1176742E+05  0.2026272E+05  0.3977263E+05  0.7790057E+05  0.1538555E+06  0.3113564E+06  0.6535556E+06  0.1130946E+07  0.2131819E+07
  0.3750000E+04  0.6349000E+03  0.1273000E+04  0.2550000E+04  0.5079000E+04  0.1007000E+05  0.1985000E+05  0.3891000E+05  0.7572000E+05  0.1463000E+06  0.2872000E+06  0.5738000E+06  0.7171000E+06  0.7171000E+06
  0.4000000E+04  0.5571000E+03  0.1088000E+04  0.2144000E+04  0.4257000E+04  0.8508000E+04  0.1706000E+05  0.3414000E+05  0.6794000E+05  0.1340000E+06  0.2614000E+06  0.5171000E+06  0.6449500E+06  0.6449500E+06
  0.4250000E+04  0.5271000E+03  0.1006000E+04  0.1923000E+04  0.3708000E+04  0.7245000E+04  0.1433000E+05  0.2866000E+05  0.5754000E+05  0.1156000E+06  0.2302000E+06  0.4517000E+06  0.5624500E+06  0.5624500E+06
  0.4500000E+04  0.5040000E+03  0.9684000E+03  0.1839000E+04  0.3482000E+04  0.6618000E+04  0.1271000E+05  0.2475000E+05  0.4880000E+05  0.9699000E+05  0.1943000E+06  0.3884000E+06  0.4854500E+06  0.4854500E+06
  0.4750000E+04  0.4591000E+03  0.9040000E+03  0.1748000E+04  0.3339000E+04  0.6333000E+04  0.1200000E+05  0.2286000E+05  0.4395000E+05  0.8534000E+05  0.1675000E+06  0.3324000E+06  0.4148500E+06  0.4148500E+06
  0.5000000E+04  0.3945000E+03  0.8022000E+03  0.1593000E+04  0.3109000E+04  0.5995000E+04  0.1147000E+05  0.2183000E+05  0.4155000E+05  0.7933000E+05  0.1525000E+06  0.2963000E+06  0.3682000E+06  0.3682000E+06
  0.5250000E+04  0.3182000E+03  0.6731000E+03  0.1380000E+04  0.2768000E+04  0.5464000E+04  0.1065000E+05  0.2056000E+05  0.3945000E+05  0.7532000E+05  0.1438000E+06  0.2753000E+06  0.3410500E+06  0.3410500E+06
  0.5500000E+04  0.2407000E+03  0.5320000E+03  0.1132000E+04  0.2345000E+04  0.4760000E+04  0.9505000E+04  0.1874000E+05  0.3655000E+05  0.7064000E+05  0.1358000E+06  0.2599000E+06  0.3219500E+06  0.3219500E+06
  0.5750000E+04  0.1729000E+03  0.3987000E+03  0.8802000E+03  0.1886000E+04  0.3950000E+04  0.8115000E+04  0.1641000E+05  0.3270000E+05  0.6438000E+05  0.1255000E+06  0.2427000E+06  0.3013000E+06  0.3013000E+06
  0.6000000E+04  0.2164147E+03  0.2882000E+03  0.6572000E+03  0.1451000E+04  0.3129000E+04  0.6619000E+04  0.1376000E+05  0.2814000E+05  0.5671000E+05  0.1127000E+06  0.2214000E+06  0.2757500E+06  0.2757500E+06
  0.6250000E+04  0.1880809E+03  0.2037000E+03  0.4788000E+03  0.1084000E+04  0.2395000E+04  0.5195000E+04  0.1109000E+05  0.2330000E+05  0.4818000E+05  0.9803000E+05  0.1965000E+06  0.2457350E+06  0.2457350E+06
  0.6500000E+04  0.1440339E+03  0.1409000E+03  0.3440000E+03  0.7965000E+03  0.1796000E+04  0.3976000E+04  0.8672000E+04  0.1866000E+05  0.3958000E+05  0.8257000E+05  0.1695000E+06  0.2129650E+06  0.2129650E+06
  0.6750000E+04  0.1030003E+03  0.9391000E+02  0.2430000E+03  0.5794000E+03  0.1331000E+04  0.2999000E+04  0.6664000E+04  0.1462000E+05  0.3168000E+05  0.6769000E+05  0.1422000E+06  0.1794550E+06  0.1794550E+06
  0.7000000E+04  0.7090074E+02  0.5919000E+02  0.1662000E+03  0.4155000E+03  0.9780000E+03  0.2241000E+04  0.5066000E+04  0.1131000E+05  0.2496000E+05  0.5442000E+05  0.1168000E+06  0.1479900E+06  0.1479900E+06
  0.7250000E+04  0.5029031E+02  0.3369000E+02  0.1088000E+03  0.2889000E+03  0.7091000E+03  0.1661000E+04  0.3817000E+04  0.8672000E+04  0.1948000E+05  0.4323000E+05  0.9458000E+05  0.1202550E+06  0.1202550E+06
  0.7500000E+04  0.4593290E+02  0.4633162E+02  0.6655000E+02  0.1937000E+03  0.4991000E+03  0.1215000E+04  0.2851000E+04  0.6592000E+04  0.1507000E+05  0.3405000E+05  0.7586000E+05  0.9676500E+05  0.9676500E+05
  0.7750000E+04  0.4058904E+02  0.3896992E+02  0.3699000E+02  0.1231000E+03  0.3377000E+03  0.8600000E+03  0.2099000E+04  0.4963000E+04  0.1156000E+05  0.2661000E+05  0.6037000E+05  0.7725000E+05  0.7725000E+05
  0.8000000E+04  0.3613440E+02  0.3173038E+02  0.1818000E+02  0.7512000E+02  0.2226000E+03  0.5931000E+03  0.1501000E+04  0.3676000E+04  0.8769000E+04  0.2060000E+05  0.4768000E+05  0.6122000E+05  0.6122000E+05
  0.8250000E+04  0.3529017E+02  0.3335735E+02  0.3204871E+02  0.4494000E+02  0.1440000E+03  0.4016000E+03  0.1054000E+04  0.2671000E+04  0.6579000E+04  0.1580000E+05  0.3735000E+05  0.4812500E+05  0.4812500E+05
  0.8500000E+04  0.3557047E+02  0.3399758E+02  0.3158255E+02  0.2873000E+02  0.9509000E+02  0.2718000E+03  0.7324000E+03  0.1909000E+04  0.4851000E+04  0.1200000E+05  0.2902000E+05  0.3753000E+05  0.3753000E+05
  0.8750000E+04  0.3666872E+02  0.3511297E+02  0.3140305E+02  0.2131000E+02  0.6809000E+02  0.1921000E+03  0.5178000E+03  0.1366000E+04  0.3541000E+04  0.9008000E+04  0.2235000E+05  0.2902100E+05  0.2902100E+05
  0.9000000E+04  0.3865870E+02  0.3804341E+02  0.3745446E+02  0.3909700E+02  0.5442000E+02  0.1463000E+03  0.3839000E+03  0.1003000E+04  0.2610000E+04  0.6741000E+04  0.1712000E+05  0.2230950E+05  0.2230950E+05
  0.9250000E+04  0.4070544E+02  0.4064753E+02  0.4110394E+02  0.4314566E+02  0.4814000E+02  0.1214000E+03  0.3034000E+03  0.7706000E+03  0.1982000E+04  0.5120000E+04  0.1315000E+05  0.1716500E+05  0.1716500E+05
  0.9500000E+04  0.4237701E+02  0.4250311E+02  0.4302679E+02  0.4419037E+02  0.4574000E+02  0.1090000E+03  0.2565000E+03  0.6225000E+03  0.1562000E+04  0.3993000E+04  0.1026000E+05  0.1339350E+05  0.1339350E+05
  0.9750000E+04  0.4365220E+02  0.4382578E+02  0.4423097E+02  0.4482310E+02  0.4527000E+02  0.1041000E+03  0.2316000E+03  0.5309000E+03  0.1280000E+04  0.3207000E+04  0.8180000E+04  0.1066650E+05  0.1066650E+05
  0.1000000E+05  0.4470621E+02  0.4492238E+02  0.4526449E+02  0.4561563E+02  0.4575000E+02  0.1033000E+03  0.2206000E+03  0.4784000E+03  0.1096000E+04  0.2656000E+04  0.6671000E+04  0.8678500E+04  0.8678500E+04
  0.1025000E+05  0.4580198E+02  0.4609202E+02  0.4643666E+02  0.4669554E+02  0.4672000E+02  0.1048000E+03  0.2182000E+03  0.4528000E+03  0.9824000E+03  0.2277000E+04  0.5572000E+04  0.7219500E+04  0.7219500E+04
  0.1050000E+05  0.4727287E+02  0.4765964E+02  0.4801306E+02  0.4815241E+02  0.4798000E+02  0.1076000E+03  0.2210000E+03  0.4448000E+03  0.9209000E+03  0.2028000E+04  0.4780000E+04  0.6156000E+04  0.6156000E+04
  0.1075000E+05  0.4953528E+02  0.5002485E+02  0.5032899E+02  0.5014960E+02  0.4939000E+02  0.1113000E+03  0.2270000E+03  0.4480000E+03  0.8954000E+03  0.1879000E+04  0.4233000E+04  0.5410000E+04  0.5410000E+04
  0.1100000E+05  0.5308012E+02  0.5369007E+02  0.5388400E+02  0.5305011E+02  0.5089000E+02  0.1155000E+03  0.2351000E+03  0.4587000E+03  0.8945000E+03  0.1804000E+04  0.3878000E+04  0.4915000E+04  0.4915000E+04
  0.1125000E+05  0.5839715E+02  0.5923677E+02  0.5945300E+02  0.5769587E+02  0.5242000E+02  0.1202000E+03  0.2448000E+03  0.4745000E+03  0.9102000E+03  0.1782000E+04  0.3671000E+04  0.4615500E+04  0.4615500E+04
  0.1150000E+05  0.6579155E+02  0.6717658E+02  0.6818951E+02  0.6637509E+02  0.5395000E+02  0.1252000E+03  0.2556000E+03  0.4940000E+03  0.9376000E+03  0.1797000E+04  0.3575000E+04  0.4464000E+04  0.4464000E+04
  0.1175000E+05  0.7509172E+02  0.7747849E+02  0.8112357E+02  0.8629839E+02  0.9633818E+02  0.1304000E+03  0.2674000E+03  0.5162000E+03  0.9733000E+03  0.1838000E+04  0.3561000E+04  0.4422500E+04  0.4422500E+04
  0.1200000E+05  0.8546961E+02  0.8863660E+02  0.9405129E+02  0.1022382E+03  0.1150264E+03  0.1356000E+03  0.2798000E+03  0.5408000E+03  0.1016000E+04  0.1900000E+04  0.3610000E+04  0.4465000E+04  0.4465000E+04
  0.1225000E+05  0.9615290E+02  0.9970421E+02  0.1058156E+03  0.1145758E+03  0.1263256E+03  0.1410000E+03  0.2929000E+03  0.5671000E+03  0.1064000E+04  0.1976000E+04  0.3703000E+04  0.4566500E+04  0.4566500E+04
  0.1250000E+05  0.1067211E+03  0.1104074E+03  0.1166194E+03  0.1250128E+03  0.1351469E+03  0.1463000E+03  0.3063000E+03  0.5950000E+03  0.1116000E+04  0.2065000E+04  0.3833000E+04  0.4717000E+04  0.4717000E+04
  0.1275000E+05  0.1171458E+03  0.1209344E+03  0.1271017E+03  0.1349420E+03  0.1434668E+03  0.1515000E+03  0.3201000E+03  0.6244000E+03  0.1172000E+04  0.2164000E+04  0.3990000E+04  0.4903000E+04  0.4903000E+04
  0.1300000E+05  0.1277940E+03  0.1318374E+03  0.1381365E+03  0.1456864E+03  0.1529170E+03  0.1566000E+03  0.3342000E+03  0.6550000E+03  0.1232000E+04  0.2271000E+04  0.4169000E+04  0.5118000E+04  0.5118000E+04
