#Table Version   5 
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE:  176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 
#Teff(K)| Pgas@  log g = 6.00   log g = 6.20   log g = 6.40   log g = 6.60   log g = 6.80   log g = 7.00   log g = 7.20   log g = 7.40   log g = 7.60   log g = 7.80   log g = 8.00   log g = 8.20   log g = 8.40   log g = 8.60   log g = 8.80   log g = 9.00   log g = 9.20   log g = 9.40 
  1.6200000E+04  2.4785632E+06  3.6982818E+06  5.4992061E+06  8.1507956E+06  1.2036494E+07  1.7745981E+07  2.6067537E+07  3.8194427E+07  5.5718575E+07  8.0928222E+07  1.1694994E+08  1.6807379E+08  2.4032558E+08  3.4174329E+08  4.8317004E+08  6.7951649E+08  9.4994837E+08  1.3194715E+09
  1.6400000E+04  2.2130947E+06  3.3021744E+06  4.9203954E+06  7.3063420E+06  1.0814340E+07  1.5973497E+07  2.3528812E+07  3.4570049E+07  5.0582466E+07  7.3688548E+07  1.0683167E+08  1.5402811E+08  2.2095305E+08  3.1513744E+08  4.4688934E+08  6.3037648E+08  8.8348667E+08  1.2311189E+09
  1.6600000E+04  1.9828963E+06  2.9586937E+06  4.4116393E+06  6.5614527E+06  9.7341941E+06  1.4401244E+07  2.1266695E+07  3.1318431E+07  4.5962114E+07  6.7173813E+07  9.7678729E+07  1.4125375E+08  2.0328250E+08  2.9080375E+08  4.1361854E+08  5.8519418E+08  8.2224265E+08  1.1492116E+09
  1.6800000E+04  1.7844320E+06  2.6601125E+06  3.9655187E+06  5.9074493E+06  8.7801109E+06  1.3010680E+07  1.9248638E+07  2.8411882E+07  4.1802283E+07  6.1277353E+07  8.9371696E+07  1.2968806E+08  1.8715438E+08  2.6859628E+08  3.8326574E+08  5.4350057E+08  7.6612565E+08  1.0732478E+09
  1.7000000E+04  1.6136153E+06  2.3988329E+06  3.5751972E+06  5.3308934E+06  7.9286637E+06  1.1773349E+07  1.7446166E+07  2.5810713E+07  3.8071501E+07  5.5962873E+07  8.1884179E+07  1.1917907E+08  1.7254405E+08  2.4825614E+08  3.5538574E+08  5.0535899E+08  7.1433183E+08  1.0029978E+09
  1.7200000E+04  1.4736692E+06  2.1782113E+06  3.2359366E+06  4.8216979E+06  7.1779429E+06  1.0670874E+07  1.5841635E+07  2.3480103E+07  3.4721622E+07  5.1168184E+07  7.5110387E+07  1.0967307E+08  1.5918421E+08  2.2982645E+08  3.2983748E+08  4.7021881E+08  6.6649976E+08  9.3799387E+08
  1.7400000E+04  1.3630130E+06  1.9952623E+06  2.9498505E+06  4.3812698E+06  6.5192855E+06  9.7006313E+06  1.4411195E+07  2.1399321E+07  3.1710274E+07  4.6848965E+07  6.8976317E+07  1.0099503E+08  1.4706184E+08  2.1291193E+08  3.0626686E+08  4.3802611E+08  6.2230029E+08  8.7780894E+08
  1.7600000E+04  1.2758511E+06  1.8450154E+06  2.7095677E+06  4.0049768E+06  5.9483977E+06  8.8470809E+06  1.3155277E+07  1.9543395E+07  2.9013492E+07  4.2973428E+07  6.3416169E+07  9.3110788E+07  1.3595651E+08  1.9737857E+08  2.8477378E+08  4.0822538E+08  5.8143343E+08  8.2243200E+08
  1.7800000E+04  1.2915166E+06  1.7218686E+06  2.5066864E+06  3.6846819E+06  5.4525543E+06  8.0984145E+06  1.2036494E+07  1.7897814E+07  2.6595000E+07  3.9463900E+07  5.8371385E+07  8.5940920E+07  1.2583458E+08  1.8314708E+08  2.6497201E+08  3.8080268E+08  5.4362573E+08  7.7090347E+08
  1.8000000E+04  1.4989944E+06  1.6443717E+06  2.3339954E+06  3.4095731E+06  5.0234259E+06  7.4387506E+06  1.1045872E+07  1.6424797E+07  2.4423056E+07  3.6274380E+07  5.3777425E+07  7.9377972E+07  1.1651987E+08  1.7009831E+08  2.4666072E+08  3.5554944E+08  5.0874482E+08  7.2310273E+08
  1.8200000E+04  1.6050923E+06  1.7996995E+06  2.1968480E+06  3.1717577E+06  4.6483626E+06  6.8611988E+06  1.0167168E+07  1.5107757E+07  2.2464668E+07  3.3404117E+07  4.9590673E+07  7.3366871E+07  1.0796923E+08  1.5797923E+08  2.2977353E+08  3.3197089E+08  4.7632130E+08  6.7873462E+08
  1.8400000E+04  1.6714754E+06  2.0155798E+06  2.1727012E+06  2.9750893E+06  4.3191670E+06  6.3489221E+06  9.3885819E+06  1.3934776E+07  2.0701413E+07  3.0803495E+07  4.5782552E+07  6.7857835E+07  1.0011520E+08  1.4685881E+08  2.1419040E+08  3.1031302E+08  4.4637514E+08  6.3782274E+08
  1.8600000E+04  1.7064753E+06  2.1438777E+06  2.4762814E+06  2.8727643E+06  4.0438962E+06  5.8938625E+06  8.6936069E+06  1.2873600E+07  1.9120533E+07  2.8451161E+07  4.2305809E+07  6.2820299E+07  9.2875251E+07  1.3658405E+08  1.9971009E+08  2.9013492E+08  4.1850437E+08  5.9979108E+08
  1.8800000E+04  1.7306132E+06  2.2019122E+06  2.7214477E+06  2.9281950E+06  3.8690113E+06  5.5182326E+06  8.0760686E+06  1.1920652E+07  1.7688866E+07  2.6302680E+07  3.9138124E+07  5.8196920E+07  8.6218408E+07  1.2711594E+08  1.8642322E+08  2.7151886E+08  3.9291626E+08  5.6441689E+08
  1.9000000E+04  1.7478333E+06  2.2382057E+06  2.8372656E+06  3.3496544E+06  3.8115358E+06  5.2650197E+06  7.5735588E+06  1.1094302E+07  1.6413455E+07  2.4378108E+07  3.6274380E+07  5.3988343E+07  8.0149349E+07  1.1844044E+08  1.7414059E+08  2.5444856E+08  3.6923257E+08  5.3161840E+08
  1.9200000E+04  1.7607593E+06  2.2646443E+06  2.9053603E+06  3.6165960E+06  3.9554874E+06  5.1203541E+06  7.2027775E+06  1.0430377E+07  1.5332042E+07  2.2688198E+07  3.3720965E+07  5.0211131E+07  7.4662065E+07  1.1056050E+08  1.6292960E+08  2.3861624E+08  3.4721622E+08  5.0107184E+08
  1.9400000E+04  1.7644120E+06  2.2698649E+06  2.9342695E+06  3.7549140E+06  4.5394162E+06  5.0933087E+06  6.9550459E+06  9.9151662E+06  1.4441091E+07  2.1256903E+07  3.1506488E+07  4.6870545E+07  6.9726843E+07  1.0339511E+08  1.5265112E+08  2.2413000E+08  3.2666304E+08  4.7271567E+08
  1.9600000E+04  1.7668513E+06  2.2714334E+06  2.9444216E+06  3.8010186E+06  4.8083935E+06  5.3259857E+06  6.8202454E+06  9.5323504E+06  1.3718291E+07  2.0044720E+07  2.9607382E+07  4.3933925E+07  6.5298018E+07  9.6894695E+07  1.4325177E+08  2.1071721E+08  3.0782224E+08  4.4616962E+08
