WAVELENGTH,FLUX,CONTINUUM
1074.0356177820172,1.4760959E-12,1.5824384E-12
1075.1123397322076,1.5054592E-12,1.6046592E-12
1076.1901411068593,1.535616E-12,1.62688E-12
1077.269023005895,1.5768832E-12,1.6498944E-12
1078.3489864292446,1.6086272E-12,1.6729088E-12
1079.4300325768243,1.6379904E-12,1.6967168E-12
1080.5121623485713,1.6633856E-12,1.7197311E-12
1081.5953771443876,1.6713216E-12,1.7443328E-12
1082.679677764217,1.670528E-12,1.7689344E-12
1083.765065407976,1.6379904E-12,1.793536E-12
1084.8515410755938,1.6252928E-12,1.8181375E-12
1085.9391060669802,1.6951296E-12,1.8435327E-12
1087.0277612820719,1.7856E-12,1.8697216E-12
1088.1175078207918,1.821312E-12,1.8959103E-12
1089.208346983049,1.8403584E-12,1.9220992E-12
1090.300279568788,1.8459136E-12,1.9490815E-12
1091.3933068779172,1.862579E-12,1.976064E-12
1092.487429910367,1.910195E-12,2.0030464E-12
1093.582649866053,1.9506688E-12,2.0332032E-12
1094.6789677449058,1.9482879E-12,2.0601856E-12
1095.7763846468479,1.862579E-12,2.0903424E-12
1096.8749017717957,1.7752832E-12,2.1173248E-12
1097.974520119679,1.8308352E-12,2.1490687E-12
1099.075240890414,1.9244799E-12,2.1776383E-12
1100.1770650839308,2.0506624E-12,2.2093824E-12
1101.2799939001452,2.2435072E-12,8.912128E-12
1102.3840283389873,2.4347648E-12,3.1537664E-10
1103.489169700366,2.612531E-12,3.3077246E-10
1104.5954188842184,2.751411E-12,3.4624767E-10
1105.7027769904678,2.9466369E-12,3.622784E-10
1106.8112453190226,3.3220096E-12,3.7886463E-10
1107.9208249698067,4.3401983E-12,3.957683E-10
1109.0315168427564,7.536026E-12,4.1291007E-10
1110.1433222377814,1.484032E-11,4.3060736E-10
1111.2562422548037,2.325248E-11,4.4846335E-10
1112.3702778937543,3.2934398E-11,4.667955E-10
1113.4854303545487,3.7545217E-11,4.8560383E-10
1114.6017008371032,4.614784E-11,5.045709E-10
1115.7190903413477,8.17408E-11,5.2401405E-10
1116.8376000671985,8.2455036E-11,5.4393345E-10
1117.957231014585,7.97568E-11,5.641702E-10
1119.077984483417,1.1356416E-10,5.846451E-10
1120.1998614736237,1.1054848E-10,6.055168E-10
1121.3228630851288,7.1868414E-11,6.267853E-10
1122.446990617841,6.9757436E-11,6.482125E-10
1123.5722449716975,1.2824576E-10,6.7003647E-10
1124.6986274466074,1.5808511E-10,6.9225725E-10
