Ntau, Nsims           82          37
 -4.09876537  0.39529022  0.40812081  0.39283812  0.40756858  0.38909873  0.42666348  0.41341677  0.40693703  0.41277190  0.40638774  0.41440533  0.40927142  0.41206207  0.40224150  0.40844328  0.39757869  0.39959469  0.41698554  0.42030664  0.39734335  0.40610649  0.40600039  0.40817089  0.41331618  0.39574296  0.39953269  0.39121269  0.42246793  0.41209031  0.42477759  0.41725340  0.41332906  0.39244287  0.40962163  0.41063009  0.39592222  0.40504338
 -4.01851845  0.40023393  0.41343065  0.39790501  0.41258876  0.39417138  0.43230324  0.41897563  0.41198729  0.41863684  0.41166390  0.41951864  0.41419336  0.41685337  0.40793093  0.41296270  0.40222992  0.40610591  0.42226131  0.42562414  0.40195650  0.40978157  0.41100068  0.41257856  0.41856215  0.40084585  0.40408152  0.39675477  0.42675292  0.41859388  0.43055226  0.42306778  0.41841718  0.39718329  0.41434660  0.41517685  0.40137784  0.41071966
 -3.93827152  0.40526712  0.41881189  0.40298973  0.41771878  0.39929654  0.43795189  0.42457842  0.41711258  0.42448915  0.41698702  0.42464591  0.41903390  0.42168322  0.41372317  0.41740861  0.40695424  0.41268610  0.42757058  0.43093145  0.40664479  0.41370386  0.41611016  0.41697820  0.42377168  0.40607276  0.40869585  0.40243840  0.43097639  0.42514362  0.43630027  0.42892259  0.42336688  0.40207107  0.41904802  0.41976491  0.40684502  0.41621484
 -3.85802460  0.41038712  0.42426792  0.40804984  0.42293325  0.40447451  0.44361890  0.43024155  0.42228975  0.43034839  0.42229598  0.42977994  0.42378646  0.42656883  0.41958942  0.42185058  0.41177593  0.41931200  0.43291013  0.43621373  0.41138353  0.41796909  0.42129896  0.42134706  0.42895562  0.41135313  0.41342316  0.40814737  0.43517776  0.43173413  0.44197678  0.43480879  0.42821040  0.40705942  0.42376083  0.42438988  0.41230765  0.42150746
 -3.77777767  0.41559426  0.42978898  0.41324467  0.42824822  0.40971389  0.44930061  0.43594710  0.42753923  0.43622947  0.42755878  0.43495037  0.42856415  0.43152583  0.42553364  0.42640747  0.41672253  0.42597840  0.43828366  0.44146727  0.41619566  0.42247383  0.42654905  0.42573896  0.43413461  0.41668024  0.41827288  0.41379868  0.43929989  0.43835889  0.44758670  0.44072598  0.43304003  0.41210508  0.42854419  0.42893880  0.41773248  0.42665827
 -3.69753075  0.42088363  0.43534326  0.41838998  0.43369247  0.41501654  0.45499099  0.44166978  0.43285650  0.44211712  0.43283369  0.44018019  0.43334336  0.43654254  0.43157647  0.43095247  0.42180338  0.43269671  0.44370258  0.44673899  0.42111835  0.42710789  0.43185916  0.43016814  0.43928788  0.42206815  0.42324298  0.41921691  0.44329445  0.44502559  0.45317752  0.44667743  0.43794587  0.41723740  0.43332792  0.43345535  0.42299102  0.43178016
 -3.61728406  0.42623522  0.44090651  0.42335908  0.43925580  0.42040178  0.46068934  0.44740236  0.43823307  0.44798246  0.43811886  0.44545278  0.43805055  0.44161877  0.43769306  0.43537338  0.42703223  0.43947542  0.44918045  0.45207171  0.42616452  0.43195589  0.43723145  0.43461353  0.44440315  0.42754382  0.42835078  0.42442449  0.44712426  0.45172182  0.45875455  0.45265705  0.44293224  0.42236974  0.43808604  0.43800993  0.42823521  0.43688576
 -3.53703690  0.43164686  0.44648872  0.42849085  0.44490310  0.42588295  0.46640994  0.45312376  0.44368216  0.45381730  0.44335479  0.45076314  0.44278165  0.44677171  0.44385504  0.43981402  0.43240072  0.44630720  0.45473119  0.45747534  0.43132292  0.43699501  0.44264367  0.43912591  0.44949286  0.43308791  0.43361231  0.42966961  0.45081732  0.45843612  0.46429259  0.45866773  0.44797508  0.42745369  0.44293153  0.44252519  0.43354938  0.44190232
 -3.45679021  0.43712675  0.45209307  0.43373821  0.45061264  0.43146407  0.47217093  0.45880127  0.44919918  0.45964093  0.44857580  0.45615460  0.44760842  0.45200687  0.45005558  0.44439538  0.43787181  0.45318693  0.46036135  0.46293146  0.43659144  0.44201754  0.44808690  0.44370771  0.45455431  0.43866877  0.43901479  0.43497211  0.45456298  0.46515740  0.46981542  0.46472192  0.45306885  0.43260531  0.44788887  0.44706061  0.43883371  0.44689520
 -3.37654305  0.44268234  0.45771443  0.43887015  0.45636606  0.43715078  0.47797791  0.46445174  0.45476670  0.46547288  0.45382472  0.46165495  0.45240832  0.45733311  0.45629414  0.44899532  0.44343570  0.46011994  0.46606933  0.46843163  0.44195571  0.44713124  0.45355906  0.44830957  0.45959067  0.44428143  0.44455333  0.44019455  0.45854436  0.47189204  0.47536622  0.47084515  0.45818677  0.43788902  0.45287939  0.45175511  0.44411468  0.45195018
