     omega          i        C_T        C_L
0.40000000 0.54977871 1.00765095 1.06335511
0.40000000 0.62831853 1.00633613 1.05170506
0.40000000 0.70685835 1.00491786 1.03943943
0.40000000 0.78539816 1.00342668 1.02686356
0.40000000 0.86393798 1.00189748 1.01429098
0.40000000 0.94247780 1.00036888 1.00203474
0.40000000 1.02101761 0.99888222 0.99039895
0.40000000 1.09955743 0.99748018 0.97967050
0.40000000 1.17809725 0.99620513 0.97011190
0.40000000 1.25663706 0.99509725 0.96195500
0.40000000 1.33517688 0.99419273 0.95539584
0.40000000 1.41371669 0.99352188 0.95059073
0.40000000 1.49225651 0.99310764 0.94765329
0.40000000 1.57079633 0.99296428 0.94665267
0.45000000 0.00000000 1.01517127 1.13533093
0.45000000 0.07853982 1.01505135 1.13408832
0.45000000 0.15707963 1.01469273 1.13038756
0.45000000 0.23561945 1.01409853 1.12431653
0.45000000 0.31415927 1.01327449 1.11601907
0.45000000 0.39269908 1.01222945 1.10569366
0.45000000 0.47123890 1.01097618 1.09359010
0.45000000 0.54977871 1.00953220 1.08000450
0.45000000 0.62831853 1.00792068 1.06527290
0.45000000 0.70685835 1.00617105 1.04976292
0.45000000 0.78539816 1.00431942 1.03386371
0.45000000 0.86393798 1.00240844 1.01797498
0.45000000 0.94247780 1.00048664 1.00249516
0.45000000 1.02101761 0.99860713 0.98780980
0.45000000 1.09955743 0.99682571 0.97428101
0.45000000 1.17809725 0.99519856 0.96223807
0.45000000 1.25663706 0.99377956 0.95196994
0.45000000 1.33517688 0.99261759 0.94371945
0.45000000 1.41371669 0.99175390 0.93767907
0.45000000 1.49225651 0.99121980 0.93398808
0.45000000 1.57079633 0.99103487 0.93273090
0.50000000 0.00000000 1.01810491 1.16648638
0.50000000 0.07853982 1.01796706 1.16495873
0.50000000 0.15707963 1.01755423 1.16040883
0.50000000 0.23561945 1.01686844 1.15294242
0.50000000 0.31415927 1.01591369 1.14273354
0.50000000 0.39269908 1.01469687 1.13002346
0.50000000 0.47123890 1.01322896 1.11511768
0.50000000 0.54977871 1.01152646 1.09838063
0.50000000 0.62831853 1.00961286 1.08022823
0.50000000 0.70685835 1.00751998 1.06111747
0.50000000 0.78539816 1.00528886 1.04153341
0.50000000 0.86393798 1.00296997 1.02197418
0.50000000 0.94247780 1.00062255 1.00293492
0.50000000 1.02101761 0.99831302 0.98489230
0.50000000 1.09955743 0.99611243 0.96829076
0.50000000 1.17809725 0.99409325 0.95353099
