#Table Version   5
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  52  57  65  77  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  1.1000000E+04  5.8482631E+01  5.8558401E+01  5.8797547E+01  5.9549260E+01  6.1882958E+01  6.8883678E+01  8.8339106E+01  1.4449916E+02  2.9039047E+02  5.8933836E+02  1.2454257E+03  2.7912388E+03  6.0384721E+03
  1.1250000E+04  5.8494329E+01  5.8570465E+01  5.8810746E+01  5.9565836E+01  6.1908391E+01  6.8919896E+01  8.8287232E+01  1.5005864E+02  2.9744898E+02  5.9013809E+02  1.2053733E+03  2.5963603E+03  5.1770972E+03
  1.1500000E+04  5.8387070E+01  5.8465167E+01  5.8711611E+01  5.9485829E+01  6.1885395E+01  6.9047547E+01  8.8711816E+01  1.5666713E+02  3.0803834E+02  6.0138371E+02  1.1945969E+03  2.4836397E+03  4.5579616E+03
  1.1750000E+04  5.8155359E+01  5.8236752E+01  5.8493567E+01  5.9300067E+01  6.1796919E+01  6.9227058E+01  8.9490241E+01  1.6421305E+02  3.2111061E+02  6.1961841E+02  1.2066908E+03  2.4316232E+03  4.1232614E+03
  1.2000000E+04  5.7793633E+01  5.7879495E+01  5.8150373E+01  5.9000673E+01  6.1629754E+01  6.9426991E+01  9.0539221E+01  1.7236695E+02  3.3608161E+02  6.4340031E+02  1.2338386E+03  2.4284681E+03  3.8278940E+03
  1.2250000E+04  5.7296248E+01  5.7387647E+01  5.7675950E+01  5.8580512E+01  6.1373376E+01  6.9626952E+01  9.1800726E+01  1.8111878E+02  3.5270499E+02  6.7115942E+02  1.2733306E+03  2.4597207E+03  3.6374495E+03
  1.2500000E+04  5.6657288E+01  5.6755236E+01  5.7064141E+01  5.8032826E+01  6.1018635E+01  6.9806429E+01  9.3232191E+01  1.9020201E+02  3.7019864E+02  7.0157788E+02  1.3207842E+03  2.5161849E+03  3.5263208E+03
  1.2750000E+04  5.5871092E+01  5.5976530E+01  5.6308991E+01  5.7350813E+01  6.0556876E+01  6.9952249E+01  9.4799183E+01  1.9955890E+02  3.8878159E+02  7.3470711E+02  1.3750907E+03  2.5923495E+03  3.4759800E+03
  1.3000000E+04  5.4931486E+01  5.5045293E+01  5.5404072E+01  5.6527757E+01  5.9979298E+01  7.0049417E+01  9.6470912E+01  2.0902870E+02  4.0816443E+02  7.7040675E+02  1.4358782E+03  2.6869851E+03  3.4726925E+03
  1.4000000E+04  4.9515519E+01  4.9670108E+01  5.0157033E+01  5.1678107E+01  5.6315512E+01  6.9610408E+01  1.0351356E+02  2.4807607E+02  4.9171396E+02  9.3066738E+02  1.7253421E+03  3.1802761E+03  3.7689677E+03
  1.5000000E+04  4.1135169E+01  4.1338801E+01  4.1979496E+01  4.3974331E+01  5.0002997E+01  6.6973310E+01  1.0924757E+02  2.8513847E+02  5.7698525E+02  1.1026580E+03  2.0490107E+03  3.7724341E+03  4.3608244E+03
  1.6000000E+04  2.9350198E+01  2.9611561E+01  3.0432406E+01  3.2974447E+01  4.0554848E+01  6.1372528E+01  1.1193605E+02  3.1828428E+02  6.5902567E+02  1.2733702E+03  2.3806558E+03  4.4034296E+03  5.1184358E+03
  1.7000000E+04  3.4616614E+01  3.5086653E+01  3.5527159E+01  3.4730989E+01  2.7670699E+01  5.2613130E+01  1.1146783E+02  3.4534910E+02  7.3075403E+02  1.4204613E+03  2.6579911E+03  4.9512163E+03  5.9691837E+03
  1.8000000E+04  4.0277553E+01  4.1166201E+01  4.2284591E+01  4.2984656E+01  4.2226637E+01  4.0555158E+01  1.0808443E+02  3.6419019E+02  7.9592485E+02  1.5580226E+03  2.9153432E+03  5.4625070E+03  6.8527001E+03
  1.9000000E+04  4.6569042E+01  4.8023440E+01  5.0237448E+01  5.3205843E+01  5.7933280E+01  6.9037560E+01  1.0150446E+02  3.7440187E+02  8.5923885E+02  1.7107252E+03  3.2146036E+03  6.0081637E+03  7.7260153E+03
  2.0000000E+04  5.3614905E+01  5.5594983E+01  5.8587924E+01  6.2453340E+01  6.7700111E+01  7.6316166E+01  9.1637976E+01  3.7622172E+02  9.1343244E+02  1.8615236E+03  3.5321342E+03  6.5701074E+03  8.5800930E+03
  2.1000000E+04  6.1675691E+01  6.4124907E+01  6.7577261E+01  7.1324978E+01  7.4648620E+01  7.7084126E+01  7.9035945E+01  3.7400282E+02  9.6118004E+02  2.0131995E+03  3.8757763E+03  7.2155172E+03  9.4215058E+03
  2.2000000E+04  7.1134472E+01  7.4082440E+01  7.8041991E+01  8.1715085E+01  8.3027971E+01  7.8502709E+01  6.4013353E+01  3.7117590E+02  1.0058084E+03  2.1650376E+03  4.2257231E+03  7.8986914E+03  1.0259232E+04
  2.3000000E+04  8.2225994E+01  8.5738277E+01  9.0604797E+01  9.5433142E+01  9.7609701E+01  8.9939327E+01  4.6144781E+01  3.5995396E+02  1.0421312E+03  2.3052096E+03  4.5680844E+03  8.6069465E+03  1.1116587E+04
  2.4000000E+04  9.4694710E+01  9.8681895E+01  1.0474142E+02  1.1238468E+02  1.2203540E+02  1.3733436E+02  1.7530657E+02  3.1668183E+02  1.0688668E+03  2.4400413E+03  4.9132846E+03  9.3526449E+03  1.2024624E+04
  2.5000000E+04  1.0766654E+02  1.1168727E+02  1.1823597E+02  1.2731979E+02  1.4030836E+02  1.6152563E+02  2.0080518E+02  2.7216629E+02  1.0773896E+03  2.5577302E+03  5.2441496E+03  1.0072634E+04  1.2978658E+04
  2.6000000E+04  1.1993877E+02  1.2342766E+02  1.2937234E+02  1.3772711E+02  1.4940366E+02  1.6684842E+02  1.9385706E+02  2.3168928E+02  1.0558786E+03  2.6358050E+03  5.5218333E+03  1.0729945E+04  1.3928060E+04
  2.7000000E+04  1.3040109E+02  1.3301561E+02  1.3760695E+02  1.4378021E+02  1.5156205E+02  1.6170029E+02  1.7569393E+02  1.9531011E+02  1.0020635E+03  2.6636316E+03  5.7331981E+03  1.1304331E+04  1.4820786E+04
  2.8000000E+04  1.3843654E+02  1.4027699E+02  1.4348537E+02  1.4717014E+02  1.5029301E+02  1.5189368E+02  1.5156966E+02  1.5078817E+02  9.2704926E+02  2.6419339E+03  5.8692339E+03  1.1758060E+04  1.5650745E+04
  2.9000000E+04  1.4419485E+02  1.4582314E+02  1.4839633E+02  1.5047823E+02  1.4985804E+02  1.4346434E+02  1.2766450E+02  1.0059053E+02  8.1912246E+02  2.5794455E+03  5.9195430E+03  1.2075068E+04  1.6455946E+04
  3.0000000E+04  1.4859904E+02  1.5086055E+02  1.5412361E+02  1.5655632E+02  1.5501622E+02  1.4417218E+02  1.1488269E+02  5.4700591E+01  7.2733527E+02  2.4886064E+03  5.8921158E+03  1.2237963E+04  1.7280958E+04
  3.1000000E+04  1.5301511E+02  1.5670906E+02  1.6209874E+02  1.6741788E+02  1.6969837E+02  1.6319584E+02  1.3284396E+02  2.6520717E+01  6.4299899E+02  2.3787986E+03  5.8168186E+03  1.2289383E+04  1.8133142E+04
  3.2000000E+04  1.5869681E+02  1.6419390E+02  1.7254318E+02  1.8260131E+02  1.9346618E+02  2.0580418E+02  2.2646275E+02  2.8896853E+02  5.5350296E+02  2.2737300E+03  5.7055963E+03  1.2271492E+04  1.9004701E+04
  3.3000000E+04  1.6627671E+02  1.7327932E+02  1.8417911E+02  1.9825284E+02  2.1573269E+02  2.3937128E+02  2.7747641E+02  3.4901364E+02  4.8133349E+02  2.1879919E+03  5.6068166E+03  1.2206570E+04  2.0076997E+04
  3.4000000E+04  1.7553457E+02  1.8321963E+02  1.9535445E+02  2.1124761E+02  2.3114563E+02  2.5712321E+02  2.9383912E+02  3.4770293E+02  4.1920382E+02  2.1331922E+03  5.5349754E+03  1.2152096E+04  2.1274311E+04
  3.5000000E+04  1.8541980E+02  1.9279934E+02  2.0463899E+02  2.2009549E+02  2.3898849E+02  2.6218395E+02  2.9146241E+02  3.2804514E+02  3.6855006E+02  2.1068075E+03  5.5041634E+03  1.2149379E+04  2.2484693E+04
  3.6000000E+04  1.9430660E+02  2.0058636E+02  2.1094721E+02  2.2442238E+02  2.4041747E+02  2.5887356E+02  2.8005602E+02  3.0373533E+02  3.2775857E+02  2.1003488E+03  5.5288432E+03  1.2217990E+04  2.3656813E+04
  3.7000000E+04  2.0045318E+02  2.0527830E+02  2.1364729E+02  2.2457998E+02  2.3718543E+02  2.5074730E+02  2.6469319E+02  2.7850974E+02  2.9184142E+02  2.0426181E+03  5.6187416E+03  1.2406923E+04  2.4778280E+04
  3.8000000E+04  2.0256324E+02  2.0613681E+02  2.1281739E+02  2.2169039E+02  2.3158945E+02  2.4111777E+02  2.4880338E+02  2.5358358E+02  2.5605184E+02  1.9711276E+03  5.7600505E+03  1.2741940E+04  2.5842301E+04
  3.9000000E+04  2.0028786E+02  2.0338986E+02  2.0954403E+02  2.1789904E+02  2.2688555E+02  2.3410992E+02  2.3659037E+02  2.3143192E+02  2.1594709E+02  1.8861750E+03  5.9282968E+03  1.3174666E+04  2.6810497E+04
  4.0000000E+04  1.9450291E+02  1.9843319E+02  2.0605391E+02  2.1651449E+02  2.2762696E+02  2.3550806E+02  2.3488857E+02  2.2101059E+02  1.9440190E+02  1.7943503E+03  6.1046270E+03  1.3670447E+04  2.7705385E+04
  4.1000000E+04  1.8724364E+02  1.9369328E+02  2.0550638E+02  2.2181285E+02  2.3965375E+02  2.5298329E+02  2.5220085E+02  2.2604935E+02  1.7080160E+02  1.7803473E+03  6.2822770E+03  1.4211714E+04  2.8562164E+04
  4.2000000E+04  1.8126727E+02  1.9212297E+02  2.1141179E+02  2.3846823E+02  2.6988176E+02  2.9735092E+02  3.0467105E+02  2.6489327E+02  1.5006636E+02  1.7628384E+03  6.4509841E+03  1.4782107E+04  2.9424356E+04
  4.3000000E+04  1.7935001E+02  1.9646414E+02  2.2679899E+02  2.7053380E+02  3.2505772E+02  3.8185894E+02  4.2006520E+02  3.8679257E+02  1.1584203E+02  1.7393517E+03  6.6171495E+03  1.5357703E+04  3.0342704E+04
  4.4000000E+04  1.8356557E+02  2.0857152E+02  2.5347530E+02  3.2021478E+02  4.0881850E+02  5.1535580E+02  6.3223046E+02  7.6055792E+02  9.7307930E+02  1.7092817E+03  6.7785787E+03  1.5953904E+04  3.1366964E+04
  4.5000000E+04  1.9480985E+02  2.2909095E+02  2.9186304E+02  3.8752780E+02  5.1887531E+02  6.8360077E+02  8.7262707E+02  1.0776187E+03  1.3183884E+03  1.6731226E+03  6.9349623E+03  1.6573239E+04  3.2539405E+04
  4.6000000E+04  2.1263070E+02  2.5745389E+02  3.4147891E+02  4.7262278E+02  6.5695944E+02  8.9142284E+02  1.1544764E+03  1.4001160E+03  1.5678383E+03  1.6315002E+03  7.0768058E+03  1.7209886E+04  3.3889067E+04
  4.7000000E+04  2.3514582E+02  2.9160112E+02  4.0022640E+02  5.7439643E+02  8.2645886E+02  1.1562075E+03  1.5309887E+03  1.8561663E+03  1.9456758E+03  1.5840009E+03  7.0677240E+03  1.7583458E+04  3.5424287E+04
  4.8000000E+04  2.5896656E+02  3.2735939E+02  4.6238738E+02  6.8537228E+02  1.0207007E+03  1.4835930E+03  2.0541111E+03  2.6174752E+03  2.8048388E+03  1.5288829E+03  7.0758775E+03  1.7995025E+04  3.7136581E+04
  4.9000000E+04  2.7941477E+02  3.5820984E+02  5.1709639E+02  7.8659484E+02  1.2083048E+03  1.8302099E+03  2.6982953E+03  3.8360861E+03  5.1622031E+03  6.1214322E+03  1.5776387E+04  3.2922560E+04  3.9007954E+04
  5.0000000E+04  2.9147535E+02  3.7652969E+02  5.5009711E+02  8.4928824E+02  1.3296535E+03  2.0708037E+03  3.1981887E+03  4.9555019E+03  7.9243868E+03  1.3694425E+04  2.8950868E+04  1.9072973E+04  4.1016326E+04
