#Teff logg mdivh bb_U bb_B bb_V bb_R bb_I
4100.0 0.0 0.0 -2.11744667532 -1.73989279416 -0.626633407605 0.0981003871364 0.774534924007
4200.0 0.0 0.0 -1.97457391299 -1.64260992256 -0.567246926818 0.131532513496 0.784227092539
4300.0 0.0 0.0 -1.84056788381 -1.55200687939 -0.512880686848 0.16124311054 0.79125586004
4400.0 0.0 0.0 -1.71477942903 -1.46758714576 -0.463141250447 0.18753439686 0.795859883648
4500.0 0.0 0.0 -1.59661863863 -1.38889942185 -0.417671961326 0.210680125175 0.79825411264
4600.0 0.0 0.0 -1.4855483306 -1.31553268766 -0.376148865524 0.230928717509 0.798632505962
4700.0 0.0 0.0 -1.38107836813 -1.24711189318 -0.338277157773 0.248506014368 0.797170393327
4800.0 0.0 0.0 -1.28276069204 -1.18329418642 -0.303788076027 0.263617676981 0.794026532656
4900.0 0.0 0.0 -1.19018496603 -1.12376560289 -0.272436179947 0.27645129464 0.789344907917
5000.0 0.0 0.0 -1.10297474853 -1.06823815222 -0.243996959336 0.287178238208 0.783256304317
5100.0 0.0 0.0 -1.02078411853 -1.01644724757 -0.218264727055 0.2959552945 0.775879691924
5200.0 0.0 0.0 -0.943294694209 -0.968149431857 -0.195050757904 0.302926110929 0.767323443988
5300.0 0.0 0.0 -0.870212991952 -0.923120361744 -0.174181640834 0.308222475389 0.757686412198
5400.0 0.0 0.0 -0.801268081632 -0.881153015982 -0.15549781664 0.311965452702 0.747058877796
5500.0 0.0 0.0 -0.736209500137 -0.842056099707 -0.138852277403 0.314266395846 0.735523394682
5600.0 0.0 0.0 -0.674805390698 -0.805652620186 -0.124109407303 0.315227847611 0.723155538297
5700.0 0.0 0.0 -0.616840840138 -0.77177861299 -0.11114394734 0.31494434612 0.710024572145
5800.0 0.0 0.0 -0.56211638997 -0.740282000473 -0.0998400688746 0.313503145856 0.696194042109
5900.0 0.0 0.0 -0.510446700615 -0.711021566854 -0.0900905429886 0.310984864203 0.68172230737
6000.0 0.0 0.0 -0.461659350724 -0.683866036312 -0.0817959943847 0.307464062225 0.666663015514
6100.0 0.0 0.0 -0.415593756 -0.658693242257 -0.0748642300447 0.303009767261 0.651065528412
6200.0 0.0 0.0 -0.372100193922 -0.6353893775 -0.0692096341265 0.297685943909 0.634975304592
6300.0 0.0 0.0 -0.331038922515 -0.613848316297 -0.0647526216687 0.291551919183 0.618434243094
6400.0 0.0 0.0 -0.292279382786 -0.593971000421 -0.0614191446076 0.284662766871 0.601480993155
6500.0 0.0 0.0 -0.255699475752 -0.575664882346 -0.059140244415 0.277069655527 0.584151233523
6600.0 0.0 0.0 -0.221184906076 -0.558843419466 -0.0578516463563 0.268820163965 0.56647792474
6700.0 0.0 0.0 -0.188628585276 -0.543425614026 -0.0574933909727 0.259958567714 0.548491537317
6800.0 0.0 0.0 -0.157930088345 -0.529335594021 -0.0580094989098 0.250526099408 0.53022025839
6900.0 0.0 0.0 -0.128995158288 -0.516502230926 -0.0593476656673 0.240561185829 0.511690179105
7000.0 0.0 0.0 -0.101735253748 -0.504858790525 -0.0614589832399 0.230099663929 0.49292546477
7100.0 0.0 0.0 -0.0760671354353 -0.494342613605 -0.0642976859616 0.219174977951 0.473948509511
7200.0 0.0 0.0 -0.0519124875365 -0.484894823566 -0.0678209181675 0.207818359507 0.454780077039
7300.0 0.0 0.0 -0.0291975707315 -0.476460058376 -0.0719885215503 0.196058992275 0.435439428895
7400.0 0.0 0.0 -0.00785290378244 -0.468986224547 -0.07676284032 0.183924162783 0.415944441437
7500.0 0.0 0.0 0.0121870289922 -0.462424271106 -0.0821085424783 0.17143939862 0.396311712654
7600.0 0.0 0.0 0.0309840467705 -0.456727981533 -0.0879924556992 0.15862859524 0.376556659801
7700.0 0.0 0.0 0.0485965199638 -0.451853782432 -0.0943834164642 0.145514132415 0.356693608734
7800.0 0.0 0.0 0.0650795985724 -0.447760566905 -0.101252131242 0.132116981306 0.33673587573
7900.0 0.0 0.0 0.0804854228957 -0.444409531687 -0.108571048623 0.118456802972 0.316695842491
8000.0 0.0 0.0 0.0948633181584 -0.441764026707 -0.116314241436 0.104552039115 0.296585024972
8100.0 0.0 0.0 0.108259974461 -0.439789415982 -0.12445729796 0.0904199957223 0.276414136591
8200.0 0.0 0.0 0.120719613316 -0.438452948904 -0.132977221443 0.0760769202517 0.256193146333
8300.0 0.0 0.0 0.132284141926 -0.437723641017 -0.141852337212 0.0615380729007 0.235931332209
8400.0 0.0 0.0 0.142993296222 -0.437572163487 -0.151062206725 0.0468177924798 0.215637330477
8500.0 0.0 0.0 0.152884773613 -0.437970740555 -0.160587547975 0.031929557342 0.195319181002
8600.0 0.0 0.0 0.161994356286 -0.438893054303 -0.170410161729 0.0168860417857 0.17498436909
8700.0 0.0 0.0 0.170356025812 -0.440314156152 -0.180512863108 0.00169916830768 0.154639864095
8800.0 0.0 0.0 0.178002069851 -0.442210384539 -0.190879418075 -0.0136198439531 0.134292155084
8900.0 0.0 0.0 0.184963181368 -0.444559288294 -0.201494484438 -0.0290604342689 0.113947283799
9000.0 0.0 0.0 0.191268551222 -0.447339555255 -0.212343557005 -0.0446126585933 0.093610875148
