#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
7.74600E+00                                                        6.7797890648896600E-07
7.76580E+00                                                        6.9609356570143000E-07
7.78570E+00                                                        7.1472215029361800E-07
7.80560E+00                                                        7.3378251017831900E-07
7.82560E+00                                                        7.5338218220346900E-07
7.84570E+00                                                        7.7353658160069700E-07
7.86580E+00                                                        7.9415778384002900E-07
7.88590E+00                                                        8.1525487903777300E-07
7.90610E+00                                                        8.3694570216098200E-07
7.92640E+00                                                        8.5924711855655300E-07
7.94670E+00                                                        8.8206278488701600E-07
7.96700E+00                                                        9.0540266475320500E-07
7.98740E+00                                                        9.2939582319222900E-07
8.00790E+00                                                        9.5406070145357800E-07
8.02840E+00                                                        9.7929177055487900E-07
8.04900E+00                                                        1.0052272703891600E-06
8.06960E+00                                                        1.0317567651012900E-06
8.09020E+00                                                        1.0588916747758400E-06
8.11100E+00                                                        1.0869160944281100E-06
8.13170E+00                                                        1.1154423171355700E-06
8.15260E+00                                                        1.1449007575905400E-06
8.17340E+00                                                        1.1748858076860600E-06
8.19440E+00                                                        1.2058477049097600E-06
8.21540E+00                                                        1.2375146436791000E-06
8.23640E+00                                                        1.2699000869048400E-06
8.25750E+00                                                        1.3031771799201400E-06
8.27870E+00                                                        1.3373706098481900E-06
8.29990E+00                                                        1.3723389322179300E-06
8.32110E+00                                                        1.4080968641157300E-06
8.34240E+00                                                        1.4448337411650800E-06
8.36380E+00                                                        1.4825764946948000E-06
8.38520E+00                                                        1.5211704162497200E-06
8.40670E+00                                                        1.5608180428403200E-06
8.42820E+00                                                        1.6013575906920100E-06
8.44980E+00                                                        1.6430007933685100E-06
8.47150E+00                                                        1.6857778049353700E-06
8.49320E+00                                                        1.7295157792668100E-06
8.51490E+00                                                        1.7742327849829500E-06
8.53670E+00                                                        1.8201601647002000E-06
8.55860E+00                                                        1.8673307752600600E-06
8.58050E+00                                                        1.9155556961510400E-06
8.60250E+00                                                        1.9650822432816500E-06
8.62450E+00                                                        2.0157129278727900E-06
8.64660E+00                                                        2.0677061873787300E-06
8.66870E+00                                                        2.1208555983208700E-06
8.69090E+00                                                        2.1754311886319700E-06
8.71320E+00                                                        2.2314712796328000E-06
8.73550E+00                                                        2.2887554862549400E-06
8.75790E+00                                                        2.3475723433556300E-06
8.78030E+00                                                        2.4076915331689100E-06
8.80280E+00                                                        2.4694144709409900E-06
8.82540E+00                                                        2.5327839468491300E-06
8.84800E+00                                                        2.5975541255182500E-06
8.87060E+00                                                        2.6637508664687700E-06
8.89340E+00                                                        2.7320056418491300E-06
8.91610E+00                                                        2.8014570910775900E-06
8.93900E+00                                                        2.8730608444084100E-06
8.96190E+00                                                        2.9462401909492300E-06
8.98480E+00                                                        3.0210240708418300E-06
9.00780E+00                                                        3.0977791756576000E-06
9.03090E+00                                                        3.1765573869518300E-06
9.05400E+00                                                        3.2570596353355300E-06
9.07720E+00                                                        3.3396773569858100E-06
9.10050E+00                                                        3.4244660163313500E-06
9.12380E+00                                                        3.5111066133803300E-06
9.14710E+00                                                        3.5996328866286500E-06
9.17060E+00                                                        3.6908638344321700E-06
9.19410E+00                                                        3.7840834148309100E-06
9.21760E+00                                                        3.8793277722339400E-06
9.24120E+00                                                        3.9770520973938500E-06
9.26490E+00                                                        4.0773207341674700E-06
9.28860E+00                                                        4.1797627547413700E-06
9.31240E+00                                                        4.2848637476401400E-06
9.33630E+00                                                        4.3926924334911900E-06
9.36020E+00                                                        4.5028533868744200E-06
9.38420E+00                                                        4.6158645463156400E-06
9.40820E+00                                                        4.7313130950061800E-06
9.43230E+00                                                        4.8497394529510900E-06
9.45640E+00                                                        4.9707126985426000E-06
9.48070E+00                                                        5.0953148684303800E-06
9.50490E+00                                                        5.2220708333345800E-06
9.52930E+00                                                        5.3526168174972000E-06
9.55370E+00                                                        5.4859658222974200E-06
9.57820E+00                                                        5.6227321066215900E-06
9.60270E+00                                                        5.7624264242724600E-06
9.62730E+00                                                        5.9056894875898800E-06
9.65200E+00                                                        6.0526118534521600E-06
9.67670E+00                                                        6.2026723397463200E-06
9.70150E+00                                                        6.3565537679032400E-06
9.72630E+00                                                        6.5137123060618900E-06
9.75120E+00                                                        6.6748600197069200E-06
9.77620E+00                                                        6.8400974054032800E-06
9.80120E+00                                                        7.0088453128826800E-06
9.82630E+00                                                        7.1818623412400400E-06
9.85150E+00                                                        7.3592556186669300E-06
9.87670E+00                                                        7.5404084666893800E-06
9.90200E+00                                                        7.7261289268920600E-06
9.92740E+00                                                        7.9165311688922700E-06
9.95280E+00                                                        8.1109586457716800E-06
9.97830E+00                                                        8.3102719217108500E-06
1.00040E+01                                                        8.5153991518673000E-06
1.00290E+01                                                        8.7191054787165800E-06
1.00550E+01                                                        8.9353946253489200E-06
1.00810E+01                                                        9.1562847231620600E-06
1.01070E+01                                                        9.3818571896366300E-06
1.01330E+01                                                        9.6121945922685000E-06
1.01590E+01                                                        9.8473806609730400E-06
1.01850E+01                                                        1.0087500300598000E-05
1.02110E+01                                                        1.0332639603545000E-05
1.02370E+01                                                        1.0582885862502300E-05
1.02630E+01                                                        1.0838327583288800E-05
1.02890E+01                                                        1.1099054497811400E-05
1.03160E+01                                                        1.1375500540682700E-05
1.03420E+01                                                        1.1647284161808100E-05
1.03690E+01                                                        1.1935412541300000E-05
1.03950E+01                                                        1.2218641556452000E-05
1.04220E+01                                                        1.2518861529328400E-05
1.04480E+01                                                        1.2813935522920000E-05
1.04750E+01                                                        1.3126667782867400E-05
1.05020E+01                                                        1.3445939701768500E-05
1.05290E+01                                                        1.3771865054420300E-05
1.05560E+01                                                        1.4104559202177200E-05
1.05830E+01                                                        1.4444139110198500E-05
1.06100E+01                                                        1.4790723364854500E-05
1.06370E+01                                                        1.5144432191302200E-05
1.06650E+01                                                        1.5518896048669600E-05
1.06920E+01                                                        1.5887496632531300E-05
1.07190E+01                                                        1.6263597141905100E-05
1.07470E+01                                                        1.6661683761273300E-05
1.07740E+01                                                        1.7053456586109400E-05
1.08020E+01                                                        1.7468074833654000E-05
1.08290E+01                                                        1.7876061760489500E-05
1.08570E+01                                                        1.8307781215626200E-05
1.08850E+01                                                        1.8748430530458000E-05
1.09130E+01                                                        1.9198163506133500E-05
1.09410E+01                                                        1.9657136078535200E-05
1.09690E+01                                                        2.0125506341875200E-05
1.09970E+01                                                        2.0603434572531600E-05
1.10250E+01                                                        2.1091083253126800E-05
1.10530E+01                                                        2.1588617096852200E-05
1.10820E+01                                                        2.2114516795849500E-05
1.11100E+01                                                        2.2632692198983300E-05
1.11390E+01                                                        2.3180336154026900E-05
1.11670E+01                                                        2.3719864384319500E-05
1.11960E+01                                                        2.4289999405776200E-05
1.12240E+01                                                        2.4851611503132700E-05
1.12530E+01                                                        2.5445005102916000E-05
1.12820E+01                                                        2.6050533254310000E-05
1.13110E+01                                                        2.6668402917643900E-05
1.13400E+01                                                        2.7298823918217400E-05
1.13690E+01                                                        2.7942008978646500E-05
1.13980E+01                                                        2.8598173751558700E-05
1.14270E+01                                                        2.9267536852650700E-05
1.14560E+01                                                        2.9950319894106100E-05
1.14860E+01                                                        3.0671002747347700E-05
1.15150E+01                                                        3.1381784750943700E-05
1.15450E+01                                                        3.2131922285708300E-05
1.15740E+01                                                        3.2871658974369100E-05
1.16040E+01                                                        3.3652253426720300E-05
1.16340E+01                                                        3.4448727464512900E-05
1.16630E+01                                                        3.5234008425147100E-05
1.16930E+01                                                        3.6062503919084000E-05
1.17230E+01                                                        3.6907690941776800E-05
1.17530E+01                                                        3.7769850729381400E-05
1.17830E+01                                                        3.8649268400940700E-05
1.18130E+01                                                        3.9546233003313500E-05
1.18440E+01                                                        4.0491830335658600E-05
1.18740E+01                                                        4.1425380896159200E-05
1.19040E+01                                                        4.2377379617298200E-05
1.19350E+01                                                        4.3380803166499000E-05
1.19660E+01                                                        4.4404591192045200E-05
1.19960E+01                                                        4.5415084460948500E-05
1.20270E+01                                                        4.6479960967353700E-05
1.20580E+01                                                        4.7566243750957000E-05
1.20890E+01                                                        4.8674293606525000E-05
