#  r_c12_ag_o16 deboer sigma = -1.5 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
6.64640E-01                     6.8333083849626800E-25
6.66350E-01                     7.2853143574457500E-25
6.68050E-01                     7.7625979435345700E-25
6.69760E-01                     8.2724130335134000E-25
6.71480E-01                     8.8170345679795000E-25
6.73200E-01                     9.3954338975682500E-25
6.74920E-01                     1.0009575965677100E-24
6.76650E-01                     1.0665437601008200E-24
6.78380E-01                     1.1361776969076700E-24
6.80120E-01                     1.2105338623925100E-24
6.81860E-01                     1.2894730045128800E-24
6.83610E-01                     1.3737560677086500E-24
6.85360E-01                     1.4632269014794800E-24
6.87120E-01                     1.5587438633485000E-24
6.88880E-01                     1.6601318526604400E-24
6.90640E-01                     1.7677291578247900E-24
6.92410E-01                     1.8825603649163400E-24
6.94180E-01                     2.0044142378117200E-24
6.95960E-01                     2.1344455917872900E-24
6.97740E-01                     2.2724176472419300E-24
6.99530E-01                     2.4196317372602700E-24
7.01320E-01                     2.5758224511692200E-24
7.03120E-01                     2.7424559266015500E-24
7.04920E-01                     2.9192346621249200E-24
7.06720E-01                     3.1067373650423000E-24
7.08540E-01                     3.3078488448506700E-24
7.10350E-01                     3.5200036085210200E-24
7.12170E-01                     3.7462415912953800E-24
7.13990E-01                     3.9861608684680800E-24
7.15820E-01                     4.2419754336916300E-24
7.17660E-01                     4.5147612724472700E-24
7.19490E-01                     4.8024307059751500E-24
7.21340E-01                     5.1107739728487000E-24
7.23180E-01                     5.4359197900817200E-24
7.25040E-01                     5.7843790354956400E-24
7.26890E-01                     6.1518022710817000E-24
7.28750E-01                     6.5433419468822600E-24
7.30620E-01                     6.9606139692482400E-24
7.32490E-01                     7.4029088966101000E-24
7.34370E-01                     7.8742114748640200E-24
7.36250E-01                     8.3737269549940800E-24
7.38140E-01                     8.9059339961079400E-24
7.40030E-01                     9.4699423192605000E-24
7.41920E-01                     1.0067530106912500E-23
7.43820E-01                     1.0704015206875800E-23
7.45730E-01                     1.1381978786541100E-23
7.47640E-01                     1.2100304251585100E-23
7.49550E-01                     1.2861239576249700E-23
7.51470E-01                     1.3671491299160500E-23
7.53400E-01                     1.4534315790049200E-23
7.55330E-01                     1.5448312879390100E-23
7.57260E-01                     1.6416321100710900E-23
7.59200E-01                     1.7446790138862000E-23
7.61140E-01                     1.8538035400889800E-23
7.63090E-01                     1.9699536491414600E-23
7.65050E-01                     2.0935897373779700E-23
7.67010E-01                     2.2245153138543900E-23
7.68970E-01                     2.3631321877541500E-23
7.70940E-01                     2.5106329371236800E-23
7.72920E-01                     2.6675967406847100E-23
7.74900E-01                     2.8337773566700200E-23
7.76880E-01                     3.0096806316840500E-23
7.78870E-01                     3.1968053623510900E-23
7.80870E-01                     3.3958793081768900E-23
7.82870E-01                     3.6065939721522400E-23
7.84870E-01                     3.8295853986794600E-23
7.86880E-01                     4.0667352888452000E-23
7.88900E-01                     4.3189570244772900E-23
7.90920E-01                     4.5858642414169900E-23
7.92940E-01                     4.8682557087855800E-23
7.94970E-01                     5.1684913818259900E-23
7.97010E-01                     5.4877162488488100E-23
7.99050E-01                     5.8254465990077500E-23
8.01100E-01                     6.1844852362751500E-23
8.03150E-01                     6.5642909170361400E-23
8.05210E-01                     6.9680003426275700E-23
8.07270E-01                     7.3950079568631800E-23
8.09340E-01                     7.8488231821915400E-23
8.11410E-01                     8.3287685813157000E-23
8.13490E-01                     8.8387695141029800E-23
8.15570E-01                     9.3780682146462000E-23
8.17660E-01                     9.9510540711184000E-23
8.19750E-01                     1.0556879562215200E-22
8.21850E-01                     1.1200451603023700E-22
8.23960E-01                     1.1884153394489900E-22
8.26070E-01                     1.2606997242760900E-22
8.28190E-01                     1.3374796973844900E-22
8.30310E-01                     1.4186447785152800E-22
8.32430E-01                     1.5044286279924900E-22
8.34570E-01                     1.5959555898147500E-22
8.36700E-01                     1.6922387792388800E-22
8.38850E-01                     1.7949499640543700E-22
8.40990E-01                     1.9029866632490700E-22
8.43150E-01                     2.0182157682524600E-22
8.45310E-01                     2.1399853090007600E-22
8.47470E-01                     2.2686414754343900E-22
8.49640E-01                     2.4051940779153700E-22
8.51820E-01                     2.5501332773552000E-22
8.54000E-01                     2.7032578724191400E-22
8.56190E-01                     2.8657612965171500E-22
8.58380E-01                     3.0374186073456100E-22
8.60580E-01                     3.2195611384762500E-22
